campaign_id,campaign_name,start_date,end_date,campaign_type,target_segment,budget,actual_spend,reach,conversion_rate,roi,channel
M006,春节年货大促,2024-01-26,2024-02-01,秒杀,全部,16345,14230,25211,0.1409,3.85,邮件
M023,第二件半价,2024-02-20,2024-02-24,限时折扣,新客,98340,90648,34186,0.0264,6.13,短信
M036,老会员回馈,2024-03-08,2024-03-18,秒杀,新客,82493,71557,13612,0.0955,1.99,朋友圈广告
M011,黑卡会员尊享,2024-04-04,2024-04-07,限时折扣,特定品类偏好,48923,43977,27150,0.1946,1.71,朋友圈广告
M047,开学焕新季,2024-07-22,2024-07-30,秒杀,特定品类偏好,88292,78817,68385,0.1464,7.98,抖音广告
M027,双11预售,2024-08-01,2024-08-08,满减,全部,44326,42299,44944,0.0059,5.12,朋友圈广告
M033,开学焕新季,2024-08-12,2024-08-18,买赠,活跃,51500,51246,81496,0.072,2.95,站内信
M002,女王节宠爱季,2024-09-01,2024-09-07,新品推荐,新客,53639,46093,3567,0.184,2.42,短信
M031,夏日清凉节,2024-09-16,2024-09-26,会员专属,特定品类偏好,33365,28372,64841,0.1147,5.42,邮件
M034,会员日专享,2024-09-17,2024-09-26,满减,全部,78410,69481,75632,0.1775,3.05,短信
M022,手办收藏季,2024-09-18,2024-09-30,买赠,高价值,27114,24445,8531,0.1986,2.3,抖音广告
M049,周边清仓特卖,2024-10-01,2024-10-11,会员专属,活跃,47401,37998,35711,0.0327,0.97,短信
M013,618预售开启,2024-10-10,2024-10-14,买赠,沉睡,25271,22196,2605,0.1288,1.15,APP推送
M037,中秋团圆礼,2024-10-14,2024-10-17,新品推荐,新客,29076,26375,58911,0.0566,3.79,抖音广告
M005,生日月特权,2024-10-22,2024-11-02,秒杀,全部,40571,40082,36917,0.1156,1.72,小红书
M030,积分兑换节,2024-11-07,2024-11-11,秒杀,特定品类偏好,92149,88999,49241,0.0411,0.9,抖音广告
M014,新春开门红,2024-11-08,2024-11-13,满减,高价值,27762,23873,73820,0.1848,0.69,站内信
